tournament,year,stage,date,home_team,home_score,away_team,away_score,neutral
1930 FIFA Men's World Cup,1930,Group 1,1930-07-13,France,4,Mexico,1,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-13,United States,3,Belgium,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-14,Yugoslavia,2,Brazil,1,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-14,Romania,3,Peru,1,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-15,Argentina,1,France,0,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-16,Chile,3,Mexico,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-17,Yugoslavia,4,Bolivia,0,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-17,United States,3,Paraguay,0,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-18,Uruguay,1,Peru,0,0
1930 FIFA Men's World Cup,1930,Group 1,1930-07-19,Argentina,6,Mexico,3,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-19,Chile,1,France,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-20,Brazil,4,Bolivia,0,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-20,Paraguay,1,Belgium,0,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-21,Uruguay,4,Romania,0,0
1930 FIFA Men's World Cup,1930,Group 1,1930-07-22,Argentina,3,Chile,1,1
1930 FIFA Men's World Cup,1930,semi-finals,1930-07-26,Argentina,6,United States,1,1
1930 FIFA Men's World Cup,1930,semi-finals,1930-07-27,Uruguay,6,Yugoslavia,1,0
1930 FIFA Men's World Cup,1930,final,1930-07-30,Uruguay,4,Argentina,2,0
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Austria,3,France,2,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Czechoslovakia,2,Romania,1,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Germany,5,Belgium,2,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Hungary,4,Egypt,2,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Italy,7,United States,1,0
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Spain,3,Brazil,1,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Sweden,3,Argentina,2,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Switzerland,3,Netherlands,2,1
1934 FIFA Men's World Cup,1934,quarter-finals,1934-05-31,Austria,2,Hungary,1,1
1934 FIFA Men's World Cup,1934,quarter-finals,1934-05-31,Czechoslovakia,3,Switzerland,2,1
1934 FIFA Men's World Cup,1934,quarter-finals,1934-05-31,Germany,2,Sweden,1,1
1934 FIFA Men's World Cup,1934,quarter-finals,1934-05-31,Italy,1,Spain,1,0
1934 FIFA Men's World Cup,1934,quarter-finals,1934-06-01,Italy,1,Spain,0,0
1934 FIFA Men's World Cup,1934,semi-finals,1934-06-03,Czechoslovakia,3,Germany,1,1
1934 FIFA Men's World Cup,1934,semi-finals,1934-06-03,Italy,1,Austria,0,0
1934 FIFA Men's World Cup,1934,third-place match,1934-06-07,Germany,3,Austria,2,1
1934 FIFA Men's World Cup,1934,final,1934-06-10,Italy,2,Czechoslovakia,1,0
1938 FIFA Men's World Cup,1938,round of 16,1938-06-04,Switzerland,1,Germany,1,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,Brazil,6,Poland,5,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,Cuba,3,Romania,3,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,Czechoslovakia,3,Netherlands,0,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,France,3,Belgium,1,0
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,Hungary,6,Dutch East Indies,0,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-05,Italy,2,Norway,1,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-09,Cuba,2,Romania,1,1
1938 FIFA Men's World Cup,1938,round of 16,1938-06-09,Switzerland,4,Germany,2,1
1938 FIFA Men's World Cup,1938,quarter-finals,1938-06-12,Brazil,1,Czechoslovakia,1,1
1938 FIFA Men's World Cup,1938,quarter-finals,1938-06-12,Hungary,2,Switzerland,0,1
1938 FIFA Men's World Cup,1938,quarter-finals,1938-06-12,Italy,3,France,1,1
1938 FIFA Men's World Cup,1938,quarter-finals,1938-06-12,Sweden,8,Cuba,0,1
1938 FIFA Men's World Cup,1938,quarter-finals,1938-06-14,Brazil,2,Czechoslovakia,1,1
1938 FIFA Men's World Cup,1938,semi-finals,1938-06-16,Hungary,5,Sweden,1,1
1938 FIFA Men's World Cup,1938,semi-finals,1938-06-16,Italy,2,Brazil,1,1
1938 FIFA Men's World Cup,1938,final,1938-06-19,Italy,4,Hungary,2,1
1938 FIFA Men's World Cup,1938,third-place match,1938-06-19,Brazil,4,Sweden,2,1
1950 FIFA Men's World Cup,1950,Group 1,1950-06-24,Brazil,4,Mexico,0,0
1950 FIFA Men's World Cup,1950,Group 1,1950-06-25,Yugoslavia,3,Switzerland,0,1
1950 FIFA Men's World Cup,1950,Group 2,1950-06-25,England,2,Chile,0,1
1950 FIFA Men's World Cup,1950,Group 2,1950-06-25,Spain,3,United States,1,1
1950 FIFA Men's World Cup,1950,Group 3,1950-06-25,Sweden,3,Italy,2,1
1950 FIFA Men's World Cup,1950,Group 1,1950-06-28,Brazil,2,Switzerland,2,0
1950 FIFA Men's World Cup,1950,Group 1,1950-06-28,Yugoslavia,4,Mexico,1,1
1950 FIFA Men's World Cup,1950,Group 2,1950-06-29,Spain,2,Chile,0,1
1950 FIFA Men's World Cup,1950,Group 2,1950-06-29,United States,1,England,0,1
1950 FIFA Men's World Cup,1950,Group 3,1950-06-29,Sweden,2,Paraguay,2,1
1950 FIFA Men's World Cup,1950,Group 1,1950-07-01,Brazil,2,Yugoslavia,0,0
1950 FIFA Men's World Cup,1950,Group 1,1950-07-02,Switzerland,2,Mexico,1,1
1950 FIFA Men's World Cup,1950,Group 2,1950-07-02,Chile,5,United States,2,1
1950 FIFA Men's World Cup,1950,Group 2,1950-07-02,Spain,1,England,0,1
1950 FIFA Men's World Cup,1950,Group 3,1950-07-02,Italy,2,Paraguay,0,1
1950 FIFA Men's World Cup,1950,Group 4,1950-07-02,Uruguay,8,Bolivia,0,1
1950 FIFA Men's World Cup,1950,final round,1950-07-09,Brazil,7,Sweden,1,0
1950 FIFA Men's World Cup,1950,final round,1950-07-09,Uruguay,2,Spain,2,1
1950 FIFA Men's World Cup,1950,final round,1950-07-13,Brazil,6,Spain,1,0
1950 FIFA Men's World Cup,1950,final round,1950-07-13,Uruguay,3,Sweden,2,1
1950 FIFA Men's World Cup,1950,final round,1950-07-16,Sweden,3,Spain,1,1
1950 FIFA Men's World Cup,1950,final round,1950-07-16,Uruguay,2,Brazil,1,1
1954 FIFA Men's World Cup,1954,Group 1,1954-06-16,Brazil,5,Mexico,0,1
1954 FIFA Men's World Cup,1954,Group 1,1954-06-16,Yugoslavia,1,France,0,1
1954 FIFA Men's World Cup,1954,Group 3,1954-06-16,Austria,1,Scotland,0,1
1954 FIFA Men's World Cup,1954,Group 3,1954-06-16,Uruguay,2,Czechoslovakia,0,1
1954 FIFA Men's World Cup,1954,Group 2,1954-06-17,Hungary,9,South Korea,0,1
1954 FIFA Men's World Cup,1954,Group 2,1954-06-17,West Germany,4,Turkey,1,1
1954 FIFA Men's World Cup,1954,Group 4,1954-06-17,England,4,Belgium,4,1
1954 FIFA Men's World Cup,1954,Group 4,1954-06-17,Switzerland,2,Italy,1,0
1954 FIFA Men's World Cup,1954,Group 1,1954-06-19,Brazil,1,Yugoslavia,1,1
1954 FIFA Men's World Cup,1954,Group 1,1954-06-19,France,3,Mexico,2,1
1954 FIFA Men's World Cup,1954,Group 3,1954-06-19,Austria,5,Czechoslovakia,0,1
1954 FIFA Men's World Cup,1954,Group 3,1954-06-19,Uruguay,7,Scotland,0,1
1954 FIFA Men's World Cup,1954,Group 2,1954-06-20,Hungary,8,West Germany,3,1
1954 FIFA Men's World Cup,1954,Group 2,1954-06-20,Turkey,7,South Korea,0,1
1954 FIFA Men's World Cup,1954,Group 4,1954-06-20,England,2,Switzerland,0,1
1954 FIFA Men's World Cup,1954,Group 4,1954-06-20,Italy,4,Belgium,1,1
1954 FIFA Men's World Cup,1954,Group 2,1954-06-23,West Germany,7,Turkey,2,1
1954 FIFA Men's World Cup,1954,Group 4,1954-06-23,Switzerland,4,Italy,1,0
1954 FIFA Men's World Cup,1954,quarter-finals,1954-06-26,Austria,7,Switzerland,5,1
1954 FIFA Men's World Cup,1954,quarter-finals,1954-06-26,Uruguay,4,England,2,1
1954 FIFA Men's World Cup,1954,quarter-finals,1954-06-27,Hungary,4,Brazil,2,1
1954 FIFA Men's World Cup,1954,quarter-finals,1954-06-27,West Germany,2,Yugoslavia,0,1
1954 FIFA Men's World Cup,1954,semi-finals,1954-06-30,Hungary,4,Uruguay,2,1
1954 FIFA Men's World Cup,1954,semi-finals,1954-06-30,West Germany,6,Austria,1,1
1954 FIFA Men's World Cup,1954,third-place match,1954-07-03,Austria,3,Uruguay,1,1
1954 FIFA Men's World Cup,1954,final,1954-07-04,West Germany,3,Hungary,2,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-08,Argentina,1,West Germany,3,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-08,Northern Ireland,1,Czechoslovakia,0,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-08,France,7,Paraguay,3,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-08,Yugoslavia,1,Scotland,1,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-08,Hungary,1,Wales,1,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-08,Sweden,3,Mexico,0,0
1958 FIFA Men's World Cup,1958,Group 4,1958-06-08,Brazil,3,Austria,0,1
1958 FIFA Men's World Cup,1958,Group 4,1958-06-08,Soviet Union,2,England,2,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-11,Argentina,3,Northern Ireland,1,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-11,West Germany,2,Czechoslovakia,2,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-11,Paraguay,3,Scotland,2,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-11,Yugoslavia,3,France,2,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-11,Mexico,1,Wales,1,1
1958 FIFA Men's World Cup,1958,Group 4,1958-06-11,Brazil,0,England,0,1
1958 FIFA Men's World Cup,1958,Group 4,1958-06-11,Soviet Union,2,Austria,0,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-12,Sweden,2,Hungary,1,0
1958 FIFA Men's World Cup,1958,Group 1,1958-06-15,Czechoslovakia,6,Argentina,1,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-15,West Germany,2,Northern Ireland,2,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-15,France,2,Scotland,1,1
1958 FIFA Men's World Cup,1958,Group 2,1958-06-15,Paraguay,3,Yugoslavia,3,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-15,Hungary,4,Mexico,0,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-15,Sweden,0,Wales,0,0
1958 FIFA Men's World Cup,1958,Group 4,1958-06-15,Brazil,2,Soviet Union,0,1
1958 FIFA Men's World Cup,1958,Group 4,1958-06-15,England,2,Austria,2,1
1958 FIFA Men's World Cup,1958,Group 1,1958-06-17,Northern Ireland,2,Czechoslovakia,1,1
1958 FIFA Men's World Cup,1958,Group 3,1958-06-17,Wales,2,Hungary,1,1
1958 FIFA Men's World Cup,1958,Group 4,1958-06-17,Soviet Union,1,England,0,1
1958 FIFA Men's World Cup,1958,quarter-finals,1958-06-19,Brazil,1,Wales,0,1
1958 FIFA Men's World Cup,1958,quarter-finals,1958-06-19,France,4,Northern Ireland,0,1
1958 FIFA Men's World Cup,1958,quarter-finals,1958-06-19,Sweden,2,Soviet Union,0,0
1958 FIFA Men's World Cup,1958,quarter-finals,1958-06-19,West Germany,1,Yugoslavia,0,1
1958 FIFA Men's World Cup,1958,semi-finals,1958-06-24,Brazil,5,France,2,1
1958 FIFA Men's World Cup,1958,semi-finals,1958-06-24,Sweden,3,West Germany,1,0
1958 FIFA Men's World Cup,1958,third-place match,1958-06-28,France,6,West Germany,3,1
1958 FIFA Men's World Cup,1958,final,1958-06-29,Brazil,5,Sweden,2,1
1962 FIFA Men's World Cup,1962,Group 1,1962-05-30,Uruguay,2,Colombia,1,1
1962 FIFA Men's World Cup,1962,Group 2,1962-05-30,Chile,3,Switzerland,1,0
1962 FIFA Men's World Cup,1962,Group 3,1962-05-30,Brazil,2,Mexico,0,1
1962 FIFA Men's World Cup,1962,Group 4,1962-05-30,Argentina,1,Bulgaria,0,1
1962 FIFA Men's World Cup,1962,Group 1,1962-05-31,Soviet Union,2,Yugoslavia,0,1
1962 FIFA Men's World Cup,1962,Group 2,1962-05-31,West Germany,0,Italy,0,1
1962 FIFA Men's World Cup,1962,Group 3,1962-05-31,Czechoslovakia,1,Spain,0,1
1962 FIFA Men's World Cup,1962,Group 4,1962-05-31,Hungary,2,England,1,1
1962 FIFA Men's World Cup,1962,Group 1,1962-06-02,Yugoslavia,3,Uruguay,1,1
1962 FIFA Men's World Cup,1962,Group 2,1962-06-02,Chile,2,Italy,0,0
1962 FIFA Men's World Cup,1962,Group 3,1962-06-02,Brazil,0,Czechoslovakia,0,1
1962 FIFA Men's World Cup,1962,Group 4,1962-06-02,England,3,Argentina,1,1
1962 FIFA Men's World Cup,1962,Group 1,1962-06-03,Soviet Union,4,Colombia,4,1
1962 FIFA Men's World Cup,1962,Group 2,1962-06-03,West Germany,2,Switzerland,1,1
1962 FIFA Men's World Cup,1962,Group 3,1962-06-03,Spain,1,Mexico,0,1
1962 FIFA Men's World Cup,1962,Group 4,1962-06-03,Hungary,6,Bulgaria,1,1
1962 FIFA Men's World Cup,1962,Group 1,1962-06-06,Soviet Union,2,Uruguay,1,1
1962 FIFA Men's World Cup,1962,Group 2,1962-06-06,West Germany,2,Chile,0,1
1962 FIFA Men's World Cup,1962,Group 3,1962-06-06,Brazil,2,Spain,1,1
1962 FIFA Men's World Cup,1962,Group 4,1962-06-06,Hungary,0,Argentina,0,1
1962 FIFA Men's World Cup,1962,Group 1,1962-06-07,Yugoslavia,5,Colombia,0,1
1962 FIFA Men's World Cup,1962,Group 2,1962-06-07,Italy,3,Switzerland,0,1
1962 FIFA Men's World Cup,1962,Group 3,1962-06-07,Mexico,3,Czechoslovakia,1,1
1962 FIFA Men's World Cup,1962,Group 4,1962-06-07,England,0,Bulgaria,0,1
1962 FIFA Men's World Cup,1962,quarter-finals,1962-06-10,Brazil,3,England,1,1
1962 FIFA Men's World Cup,1962,quarter-finals,1962-06-10,Chile,2,Soviet Union,1,0
1962 FIFA Men's World Cup,1962,quarter-finals,1962-06-10,Czechoslovakia,1,Hungary,0,1
1962 FIFA Men's World Cup,1962,quarter-finals,1962-06-10,Yugoslavia,1,West Germany,0,1
1962 FIFA Men's World Cup,1962,semi-finals,1962-06-13,Brazil,4,Chile,2,1
1962 FIFA Men's World Cup,1962,semi-finals,1962-06-13,Czechoslovakia,3,Yugoslavia,1,1
1962 FIFA Men's World Cup,1962,third-place match,1962-06-16,Chile,1,Yugoslavia,0,0
1962 FIFA Men's World Cup,1962,final,1962-06-17,Brazil,3,Czechoslovakia,1,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-11,England,0,Uruguay,0,0
1966 FIFA Men's World Cup,1966,Group 2,1966-07-12,West Germany,5,Switzerland,0,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-12,Brazil,2,Bulgaria,0,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-12,Soviet Union,3,North Korea,0,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-13,France,1,Mexico,1,1
1966 FIFA Men's World Cup,1966,Group 2,1966-07-13,Argentina,2,Spain,1,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-13,Portugal,3,Hungary,1,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-13,Italy,2,Chile,0,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-15,Uruguay,2,France,1,1
1966 FIFA Men's World Cup,1966,Group 2,1966-07-15,Spain,2,Switzerland,1,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-15,Hungary,3,Brazil,1,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-15,Chile,1,North Korea,1,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-16,England,2,Mexico,0,0
1966 FIFA Men's World Cup,1966,Group 2,1966-07-16,Argentina,0,West Germany,0,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-16,Portugal,3,Bulgaria,0,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-16,Soviet Union,1,Italy,0,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-19,Mexico,0,Uruguay,0,1
1966 FIFA Men's World Cup,1966,Group 2,1966-07-19,Argentina,2,Switzerland,0,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-19,Portugal,3,Brazil,1,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-19,North Korea,1,Italy,0,1
1966 FIFA Men's World Cup,1966,Group 1,1966-07-20,England,2,France,0,0
1966 FIFA Men's World Cup,1966,Group 2,1966-07-20,West Germany,2,Spain,1,1
1966 FIFA Men's World Cup,1966,Group 3,1966-07-20,Hungary,3,Bulgaria,1,1
1966 FIFA Men's World Cup,1966,Group 4,1966-07-20,Soviet Union,2,Chile,1,1
1966 FIFA Men's World Cup,1966,quarter-finals,1966-07-23,England,1,Argentina,0,0
1966 FIFA Men's World Cup,1966,quarter-finals,1966-07-23,Portugal,5,North Korea,3,1
1966 FIFA Men's World Cup,1966,quarter-finals,1966-07-23,Soviet Union,2,Hungary,1,1
1966 FIFA Men's World Cup,1966,quarter-finals,1966-07-23,West Germany,4,Uruguay,0,1
1966 FIFA Men's World Cup,1966,semi-finals,1966-07-25,West Germany,2,Soviet Union,1,1
1966 FIFA Men's World Cup,1966,semi-finals,1966-07-26,England,2,Portugal,1,0
1966 FIFA Men's World Cup,1966,third-place match,1966-07-28,Portugal,2,Soviet Union,1,1
1966 FIFA Men's World Cup,1966,final,1966-07-30,England,4,West Germany,2,0
1970 FIFA Men's World Cup,1970,Group 1,1970-05-31,Mexico,0,Soviet Union,0,0
1970 FIFA Men's World Cup,1970,Group 2,1970-06-02,Uruguay,2,Israel,0,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-02,England,1,Romania,0,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-02,Peru,3,Bulgaria,2,1
1970 FIFA Men's World Cup,1970,Group 1,1970-06-03,Belgium,3,El Salvador,0,1
1970 FIFA Men's World Cup,1970,Group 2,1970-06-03,Italy,1,Sweden,0,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-03,Brazil,4,Czechoslovakia,1,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-03,West Germany,2,Morocco,1,1
1970 FIFA Men's World Cup,1970,Group 1,1970-06-06,Soviet Union,4,Belgium,1,1
1970 FIFA Men's World Cup,1970,Group 2,1970-06-06,Uruguay,0,Italy,0,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-06,Romania,2,Czechoslovakia,1,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-06,Peru,3,Morocco,0,1
1970 FIFA Men's World Cup,1970,Group 1,1970-06-07,Mexico,4,El Salvador,0,0
1970 FIFA Men's World Cup,1970,Group 2,1970-06-07,Sweden,1,Israel,1,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-07,Brazil,1,England,0,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-07,West Germany,5,Bulgaria,2,1
1970 FIFA Men's World Cup,1970,Group 1,1970-06-10,Soviet Union,2,El Salvador,0,1
1970 FIFA Men's World Cup,1970,Group 2,1970-06-10,Sweden,1,Uruguay,0,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-10,Brazil,3,Romania,2,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-10,West Germany,3,Peru,1,1
1970 FIFA Men's World Cup,1970,Group 1,1970-06-11,Mexico,1,Belgium,0,0
1970 FIFA Men's World Cup,1970,Group 2,1970-06-11,Italy,0,Israel,0,1
1970 FIFA Men's World Cup,1970,Group 3,1970-06-11,England,1,Czechoslovakia,0,1
1970 FIFA Men's World Cup,1970,Group 4,1970-06-11,Bulgaria,1,Morocco,1,1
1970 FIFA Men's World Cup,1970,quarter-finals,1970-06-14,Brazil,4,Peru,2,1
1970 FIFA Men's World Cup,1970,quarter-finals,1970-06-14,Italy,4,Mexico,1,1
1970 FIFA Men's World Cup,1970,quarter-finals,1970-06-14,Soviet Union,0,Uruguay,1,1
1970 FIFA Men's World Cup,1970,quarter-finals,1970-06-14,West Germany,3,England,2,1
1970 FIFA Men's World Cup,1970,semi-finals,1970-06-17,Brazil,3,Uruguay,1,1
1970 FIFA Men's World Cup,1970,semi-finals,1970-06-17,Italy,4,West Germany,3,1
1970 FIFA Men's World Cup,1970,third-place match,1970-06-20,West Germany,1,Uruguay,0,1
1970 FIFA Men's World Cup,1970,final,1970-06-21,Brazil,4,Italy,1,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-13,Brazil,0,Yugoslavia,0,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-14,East Germany,2,Australia,0,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-14,West Germany,1,Chile,0,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-14,Zaire,0,Scotland,2,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-15,Sweden,0,Bulgaria,0,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-15,Uruguay,0,Netherlands,2,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-15,Italy,3,Haiti,1,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-15,Poland,3,Argentina,2,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-18,Australia,0,West Germany,3,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-18,Chile,1,East Germany,1,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-18,Scotland,0,Brazil,0,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-18,Yugoslavia,9,Zaire,0,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-19,Bulgaria,1,Uruguay,1,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-19,Netherlands,0,Sweden,0,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-19,Argentina,1,Italy,1,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-19,Haiti,0,Poland,7,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-22,Australia,0,Chile,0,1
1974 FIFA Men's World Cup,1974,Group 1,1974-06-22,East Germany,1,West Germany,0,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-22,Scotland,1,Yugoslavia,1,1
1974 FIFA Men's World Cup,1974,Group 2,1974-06-22,Zaire,0,Brazil,3,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-23,Bulgaria,1,Netherlands,4,1
1974 FIFA Men's World Cup,1974,Group 3,1974-06-23,Sweden,3,Uruguay,0,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-23,Argentina,4,Haiti,1,1
1974 FIFA Men's World Cup,1974,Group 4,1974-06-23,Poland,2,Italy,1,1
1974 FIFA Men's World Cup,1974,Group A,1974-06-26,Brazil,1,East Germany,0,1
1974 FIFA Men's World Cup,1974,Group A,1974-06-26,Netherlands,4,Argentina,0,1
1974 FIFA Men's World Cup,1974,Group B,1974-06-26,Sweden,0,Poland,1,1
1974 FIFA Men's World Cup,1974,Group B,1974-06-26,Yugoslavia,0,West Germany,2,1
1974 FIFA Men's World Cup,1974,Group A,1974-06-30,Argentina,1,Brazil,2,1
1974 FIFA Men's World Cup,1974,Group A,1974-06-30,East Germany,0,Netherlands,2,1
1974 FIFA Men's World Cup,1974,Group B,1974-06-30,Poland,2,Yugoslavia,1,1
1974 FIFA Men's World Cup,1974,Group B,1974-06-30,West Germany,4,Sweden,2,1
1974 FIFA Men's World Cup,1974,Group A,1974-07-03,Argentina,1,East Germany,1,1
1974 FIFA Men's World Cup,1974,Group A,1974-07-03,Netherlands,2,Brazil,0,1
1974 FIFA Men's World Cup,1974,Group B,1974-07-03,Poland,0,West Germany,1,1
1974 FIFA Men's World Cup,1974,Group B,1974-07-03,Sweden,2,Yugoslavia,1,1
1974 FIFA Men's World Cup,1974,third-place match,1974-07-06,Brazil,0,Poland,1,1
1974 FIFA Men's World Cup,1974,final,1974-07-07,Netherlands,1,West Germany,2,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-01,West Germany,0,Poland,0,1
1978 FIFA Men's World Cup,1978,Group 1,1978-06-02,Argentina,2,Hungary,1,0
1978 FIFA Men's World Cup,1978,Group 1,1978-06-02,Italy,2,France,1,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-02,Tunisia,3,Mexico,1,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-03,Austria,2,Spain,1,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-03,Brazil,1,Sweden,1,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-03,Netherlands,3,Iran,0,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-03,Peru,3,Scotland,1,1
1978 FIFA Men's World Cup,1978,Group 1,1978-06-06,Argentina,2,France,1,0
1978 FIFA Men's World Cup,1978,Group 1,1978-06-06,Italy,3,Hungary,1,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-06,Poland,1,Tunisia,0,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-06,West Germany,6,Mexico,0,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-07,Austria,1,Sweden,0,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-07,Brazil,0,Spain,0,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-07,Netherlands,0,Peru,0,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-07,Scotland,1,Iran,1,1
1978 FIFA Men's World Cup,1978,Group 1,1978-06-10,Argentina,0,Italy,1,0
1978 FIFA Men's World Cup,1978,Group 1,1978-06-10,France,3,Hungary,1,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-10,Poland,3,Mexico,1,1
1978 FIFA Men's World Cup,1978,Group 2,1978-06-10,West Germany,0,Tunisia,0,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-11,Brazil,1,Austria,0,1
1978 FIFA Men's World Cup,1978,Group 3,1978-06-11,Spain,1,Sweden,0,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-11,Peru,4,Iran,1,1
1978 FIFA Men's World Cup,1978,Group 4,1978-06-11,Scotland,3,Netherlands,2,1
1978 FIFA Men's World Cup,1978,Group A,1978-06-14,Austria,1,Netherlands,5,1
1978 FIFA Men's World Cup,1978,Group A,1978-06-14,Italy,0,West Germany,0,1
1978 FIFA Men's World Cup,1978,Group B,1978-06-14,Argentina,2,Poland,0,0
1978 FIFA Men's World Cup,1978,Group B,1978-06-14,Brazil,3,Peru,0,1
1978 FIFA Men's World Cup,1978,Group A,1978-06-18,Italy,1,Austria,0,1
1978 FIFA Men's World Cup,1978,Group A,1978-06-18,Netherlands,2,West Germany,2,1
1978 FIFA Men's World Cup,1978,Group B,1978-06-18,Argentina,0,Brazil,0,0
1978 FIFA Men's World Cup,1978,Group B,1978-06-18,Peru,0,Poland,1,1
